N Lines;M Commands;Total Count Commands;ms
1;10;10;10
2;10;20;13
4;10;40;17
8;10;80;21
16;10;160;30
32;10;320;60
64;10;640;120
128;10;1280;235
256;10;2560;467
512;10;5120;967
1024;10;10240;1888
2048;10;20480;3645
4096;10;40960;7148
8192;10;81920;11179
16384;10;163840;18685
32768;10;327680;33345
65536;10;655360;65061
131072;10;1310720;129114
262144;10;2621440;258099
524288;10;5242880;515979
